Model,Duration_kyr,ADF_median,ADF_iqr,NADF_median,NADF_iqr,ADF_StableTime,NADF_StableTime,Model_G_a_S_nocut,Model_G_b_S_nocut,Model_G_a_Svd,Model_G_b_Svd,Model_G_a_SpSE,Model_G_b_SpSE,t_trans,VDM_median,VDM_IQR,Amin,Amax,Recurrence,MeanX,StdX,MedianX,IQRX,RevRate,PropReversing
model070,99990,21.3946030470492,12.2565360948675,9.60478065437473,3.40668464127676,5510,70,26.297950631074,0.30598153993015,16.6035078507815,0.322804049847445,20.2769091973428,0.294290595008495,0.0398,49.4295941265778,29.4135303344509,-0.07,0.6,0.006,4.22923013280151,1.7695551626698,4.19352964478961,2.3599995844497,0.232443306329532,0.300022266136217
model072,99990,22.8889085143012,12.7951993668502,9.60478065437475,3.40668464127677,6180,70,24.692165301461,0.290317215609642,15.6703146116242,0.308313131970745,18.9381832501372,0.27944152123663,0.028,52.2526027313082,29.7081597819258,-0.05,0.6,0.006,4.53653538823679,1.77566044938068,4.5266989608802,2.44455668733901,0.174246243886182,0.313284294290621
model074,99990,24.6228813223064,12.266666242715,9.60478065437475,3.40668464127676,4350,70,22.3247495382273,0.281725356353303,14.9500536584761,0.285853803814716,17.1903987271835,0.265917379460384,0.02,56.13607449794,30.1822755047312,-0.03,0.6,0.006,4.82695442779906,1.7672661428778,4.7983383631828,2.39792740843935,0.141911873883015,0.306441479742391
model076,99990,25.8691265405516,12.541687883203,9.60478065437474,3.40668464127676,8300,70,21.6455360891477,0.274159740574522,14.3480414571089,0.275737582715324,16.5421326274319,0.258271980316836,0.0206,57.9048640387731,30.4062639250817,-0.01,0.6,0.006,5.06167818380446,1.8015769580803,5.07967669778758,2.41694213401463,0.150267015636742,0.313687205136848
model078,99990,26.300883423798,12.5176734843873,9.60478065437474,3.40668464127676,3590,70,20.2971497268169,0.266958582360743,14.1310847362039,0.271600010706172,15.7279520218944,0.250907946351351,0.0107,59.4871385183728,30.0351133179487,0.01,0.6,0.006,5.19710308066129,1.74329760214624,5.1680960792766,2.37545893699081,0.0828742593180606,0.312523026758641
model080,99990,28.149395165974,12.3080990834192,9.60478065437474,3.40668464127676,1220,70,18.520925858094,0.252658531062106,13.494130110447,0.255519635623252,14.4955478640951,0.2364825772448,0.0057,62.4615233067168,30.6519273407729,0.03,0.6,0.006,5.54104139396376,1.70936876790477,5.51315941068598,2.32385301450467,0.0250635687303494,0.312928788163867
model082,99990,28.9133754773316,12.4385679166786,9.60478065437474,3.40668464127674,5430,70,17.9724236465472,0.250725054433574,13.1441421224721,0.250612500867246,14.0459294526671,0.232886294969617,0.0054,64.4447312623595,30.576789671288,0.05,0.6,0.006,5.66608208101071,1.70315793286111,5.67255538035241,2.33044465807313,0.0499940027493683,0.321740156888006
model084,99990,29.9494389046297,11.7505433729604,9.60478065437471,3.40668464127676,3320,70,16.788219470433,0.245352369746431,12.7457658131761,0.242320321550884,13.2562819437366,0.225900533822895,0.0044,66.3118576168346,29.9897920079803,0.07,0.6,0.006,5.83926495012334,1.70865913521995,5.82573085480433,2.26792313757751,0.058105482605351,0.30995696419836
model086,99990,31.1578981434145,12.239463571696,9.60478065437475,3.40668464127678,2020,70,16.0648630618447,0.236725989740857,12.3309827134021,0.233970135496825,12.7132318446881,0.218291984581439,0.0025,68.8700643335095,31.3328884137585,0.09,0.6,0.006,6.09396062466429,1.70379474357153,6.07628753506982,2.32356929729079,0.0251292470033519,0.324603617642345
