Model,Duration_kyr,ADF_median,ADF_iqr,NADF_median,NADF_iqr,ADF_StableTime,NADF_StableTime,Model_G_a_S_nocut,Model_G_b_S_nocut,Model_G_a_Svd,Model_G_b_Svd,Model_G_a_SpSE,Model_G_b_SpSE,t_trans,VDM_median,VDM_IQR,Amin,Amax,Recurrence,MeanX,StdX,MedianX,IQRX,RevRate,PropReversing
,,,,,,,,,,,,,,,,,,,,,,,,,
model070,99990,21.39460305,12.25653609,9.604780654,3.406684641,5510,70,26.29795063,0.30598154,16.60350785,0.32280405,20.2769092,0.294290595,0.0398,49.42959413,29.41353033,-0.07,0.6,0.006,4.229230133,1.769555163,4.193529645,2.359999584,0.232443306,0.300022266
model072,99990,22.88890851,12.79519937,9.604780654,3.406684641,6180,70,24.6921653,0.290317216,15.67031461,0.308313132,18.93818325,0.279441521,0.028,52.25260273,29.70815978,-0.05,0.6,0.006,4.536535388,1.775660449,4.526698961,2.444556687,0.174246244,0.313284294
model074,99990,24.62288132,12.26666624,9.604780654,3.406684641,4350,70,22.32474954,0.281725356,14.95005366,0.285853804,17.19039873,0.265917379,0.02,56.1360745,30.1822755,-0.03,0.6,0.006,4.826954428,1.767266143,4.798338363,2.397927408,0.141911874,0.30644148
model076,99990,25.86912654,12.54168788,9.604780654,3.406684641,8300,70,21.64553609,0.274159741,14.34804146,0.275737583,16.54213263,0.25827198,0.0206,57.90486404,30.40626393,-0.01,0.6,0.006,5.061678184,1.801576958,5.079676698,2.416942134,0.150267016,0.313687205
model078,99990,26.30088342,12.51767348,9.604780654,3.406684641,3590,70,20.29714973,0.266958582,14.13108474,0.271600011,15.72795202,0.250907946,0.0107,59.48713852,30.03511332,0.01,0.6,0.006,5.197103081,1.743297602,5.168096079,2.375458937,0.082874259,0.312523027
model080,99990,28.14939517,12.30809908,9.604780654,3.406684641,1220,70,18.52092586,0.252658531,13.49413011,0.255519636,14.49554786,0.236482577,0.0057,62.46152331,30.65192734,0.03,0.6,0.006,5.541041394,1.709368768,5.513159411,2.323853015,0.025063569,0.312928788
model082,99990,28.91337548,12.43856792,9.604780654,3.406684641,5430,70,17.97242365,0.250725054,13.14414212,0.250612501,14.04592945,0.232886295,0.0054,64.44473126,30.57678967,0.05,0.6,0.006,5.666082081,1.703157933,5.67255538,2.330444658,0.049994003,0.321740157
model084,99990,29.9494389,11.75054337,9.604780654,3.406684641,3320,70,16.78821947,0.24535237,12.74576581,0.242320322,13.25628194,0.225900534,0.0044,66.31185762,29.98979201,0.07,0.6,0.006,5.83926495,1.708659135,5.825730855,2.267923138,0.058105483,0.309956964
model086,99990,31.15789814,12.23946357,9.604780654,3.406684641,2020,70,16.06486306,0.23672599,12.33098271,0.233970135,12.71323184,0.218291985,0.0025,68.87006433,31.33288841,0.09,0.6,0.006,6.093960625,1.703794744,6.076287535,2.323569297,0.025129247,0.324603618
,,,,,,,,,,,,,,,,,,,,,,,,,
model100,99990,27.6538303,12.30024089,9.604780654,3.406684641,9670,70,19.26170564,0.261019876,13.73380244,0.25899933,14.96264156,0.243213768,0.0088,61.46071831,30.32384212,0.02,0.6,0.006,5.41184463,1.73230564,5.423508888,2.325770151,0.050325065,0.315059204
model102,99990,28.35390156,12.7309562,9.604780654,3.406684641,3900,70,18.71565322,0.253101424,13.35305921,0.255244281,14.51703879,0.236908964,0.007,62.99131575,30.74361399,0.04,0.6,0.006,5.56474866,1.746858486,5.578033814,2.392681839,0.041634109,0.319645256
,,,,,,,,,,,,,,,,,,,,,,,,,
model104,99990,18.92959138,12.9409417,9.604780654,3.406684641,25680,70,29.60922668,0.325540702,17.88859977,0.357968671,22.9601743,0.316822402,0.0673,44.57859157,29.53246887,-0.1,0.6,0.006,3.790819194,1.821228111,3.743277646,2.542564344,0.429425373,0.313069928
model105,99990,20.39793052,12.66151903,9.604780654,3.406684641,14090,70,27.61773525,0.311751632,17.07981125,0.334012681,21.30787013,0.301467477,0.0486,47.6119425,29.91210268,-0.09,0.6,0.006,4.071658419,1.762139732,4.052370906,2.419359266,0.243580107,0.309962458
model106,99990,21.10058564,12.64621649,9.604780654,3.406684641,18420,70,26.94185119,0.305297951,16.68953885,0.328329526,20.73763954,0.295198314,0.0455,48.27550379,29.89478023,-0.08,0.6,0.006,4.152316824,1.828897118,4.091138856,2.4668807,0.308053321,0.304092377
model107,99990,21.18651209,12.61615259,9.604780654,3.406684641,15480,70,26.42520735,0.305227365,16.56009151,0.327075491,20.37770782,0.294067995,0.039,49.12970656,29.29456177,-0.07,0.6,0.006,4.204117397,1.820322059,4.157202358,2.488727273,0.240393463,0.304410533
model108,99990,23.21069975,12.12796091,9.604780654,3.406684641,33230,70,23.91459025,0.289251137,15.59534201,0.301807489,18.41930359,0.276651667,0.0247,52.94378569,29.17107356,-0.06,0.6,0.006,4.483430937,1.717148304,4.498181862,2.318636423,0.224668961,0.305729026
model109,99990,22.98785746,12.25697372,9.604780654,3.406684641,15120,70,24.01214059,0.287800228,15.61051885,0.305754874,18.50189106,0.276486206,0.0206,52.83962243,29.61034955,-0.05,0.6,0.006,4.516600985,1.742331119,4.475822671,2.374162349,0.099438753,0.305098096
,,,,,,,,,,,,,,,,,,,,5.7,4.745558302,,,,
model029a,99990,24.44415436,29.88196562,9.604780654,3.406684641,54430,70,28.83670591,0.319266649,12.72549665,0.245336404,20.48979867,0.289200526,0.1003,55.92263444,60.46593972,-0.45,0.6,0.006,1.113485612,0.927036998,0.887417209,1.134173991,5.095365611,0.448935975
model029,99990,4.775125295,5.83739277,9.604780654,3.406684641,54430,70,48.89695236,0.498266886,48.62437576,0.503795513,42.4539266,0.512586287,0.4783,23.3952696,15.01545214,-0.45,0.6,0.006,1.113485612,0.927036998,0.887417209,1.134173991,5.095365611,0.448935975
,,,,,,,,,,,,,,,,,,,,,,,,,
model038a,99990,28.84348505,13.25535064,9.604780654,3.406684641,4990,70,18.39506891,0.253625216,13.12363668,0.250591985,14.24766296,0.235089065,0.0058,64.67070853,32.41228866,0,0.6,0.006,5.248343064,1.696261966,5.230201869,2.33624408,0.033705994,0.317539764
model038,99990,26.55798328,12.20502238,9.604780654,3.406684641,4990,70,19.85993098,0.266138929,14.10149397,0.269887502,15.48243858,0.249113574,0.0073,60.11764999,30.31262,0,0.6,0.006,5.248343064,1.696261966,5.230201869,2.33624408,0.033705994,0.317539764
