timestep,age,mean,std,mode,2.5%,25%,50%,75%,97.5%
42533,2126.705,3.3751641,1.232928016,2.972365052,1.408927117,2.531001864,3.214083465,4.039889128,6.281432072
42534,2126.755,3.376083921,1.233360099,2.973413806,1.406533938,2.53162896,3.213514689,4.041439163,6.282748693
42535,2126.805,3.377004241,1.233791426,2.974537855,1.405565073,2.532846384,3.213907273,4.041991753,6.282847096
42536,2126.855,3.377922568,1.234220002,2.975782347,1.406028515,2.532292083,3.215077544,4.042416831,6.283359138
42537,2126.905,3.378838507,1.234649302,2.977187632,1.406743461,2.532999388,3.216419049,4.042136871,6.284014368
42538,2126.955,3.379752846,1.235079059,2.978728029,1.408926851,2.533781435,3.218428094,4.043331037,6.28821234
42539,2127.005,3.380660008,1.235498145,2.980331215,1.409993291,2.535321538,3.217976983,4.04520218,6.294388314
42540,2127.055,3.381560848,1.2359026,2.981924549,1.408327834,2.536619186,3.219014135,4.045792226,6.288921889
42541,2127.105,3.382460374,1.236309709,2.983599356,1.407649413,2.538390861,3.220622957,4.047227,6.286030163
42542,2127.155,3.383359383,1.236708014,2.985354739,1.408572387,2.538028771,3.223925078,4.049570203,6.300732022
42543,2127.205,3.384263329,1.237099618,2.98714912,1.407850386,2.538474222,3.224093916,4.050498301,6.302619624
42544,2127.255,3.385165123,1.23748668,2.989082422,1.410819964,2.539771445,3.223767048,4.051982613,6.30671576
42545,2127.305,3.386067767,1.237869011,2.991082983,1.4100832,2.541024844,3.225531268,4.052629057,6.309332698
42546,2127.355,3.386967951,1.23824324,2.99305721,1.407306619,2.542808963,3.226118262,4.053851171,6.309779389
42547,2127.405,3.38786436,1.238609061,2.995088448,1.405939766,2.54408824,3.225910532,4.054805662,6.307766158
42548,2127.455,3.388757909,1.238975455,2.997104277,1.406256012,2.544732907,3.227430508,4.054499936,6.313819424
42549,2127.505,3.389649585,1.239347123,2.999086692,1.404536877,2.544841394,3.228259592,4.055466692,6.319770631
42550,2127.555,3.390537169,1.239719146,3.000999568,1.404351906,2.544528378,3.228120344,4.055844415,6.325796721
42551,2127.605,3.39142142,1.240088561,3.002808394,1.405823267,2.544917135,3.228796151,4.0565691,6.331941637
42552,2127.655,3.392306279,1.240458774,3.004526544,1.408466686,2.545476814,3.229376562,4.058519999,6.33451777
42553,2127.705,3.393190649,1.240822707,3.006190315,1.406720837,2.54582945,3.229287928,4.059744723,6.333358076
42554,2127.755,3.394074945,1.241186315,3.008012587,1.408947664,2.546317981,3.229682634,4.060308346,6.334689752
42555,2127.805,3.394960608,1.241556655,3.009843464,1.410170366,2.547580785,3.230890653,4.060906613,6.340024397
42556,2127.855,3.39584292,1.241927318,3.011699194,1.410155093,2.549147736,3.230823089,4.061322994,6.338901184
42557,2127.905,3.396724624,1.242297873,3.013450428,1.412329994,2.550171827,3.232327572,4.062033058,6.336588961
42558,2127.955,3.397608332,1.24266301,3.015039401,1.411360514,2.55087065,3.234373113,4.061847426,6.341864324
42559,2128.005,3.398491099,1.2430232,3.016486617,1.413689147,2.55230593,3.235264614,4.063693121,6.340499399
42560,2128.055,3.399370211,1.243378658,3.0179448,1.413247025,2.552618065,3.237659993,4.064124844,6.349423392
